epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2188,1.83905,3.02455,0.94488,0.68479,0.46688,0.53154,0.21418,2.0524,2.22467,0.94914,0.00330532,0.00330532,0.0702521
2,47.4361,1.69043,1.56452,0.91497,0.80382,0.85352,0.83256,0.44834,1.62811,1.34452,0.88004,0.00637576,0.00637576,0.0399892
3,67.9659,1.69069,1.30843,0.92289,0.84415,0.93728,0.87327,0.45945,1.57547,1.27532,0.87214,0.00918221,0.00918221,0.00946232
4,89.7558,1.61867,1.17002,0.91627,0.83387,0.89698,0.86944,0.45896,1.55112,1.12883,0.87355,0.008812,0.008812,0.008812
5,109.997,1.52603,1.08143,0.89912,0.83304,0.93473,0.88615,0.48906,1.44912,1.07833,0.85338,0.008416,0.008416,0.008416
6,131.954,1.47459,1.01214,0.8898,0.86875,0.93873,0.90393,0.52444,1.41863,0.96506,0.84311,0.00802,0.00802,0.00802
7,153.733,1.42844,0.96794,0.87882,0.88008,0.9025,0.90715,0.53958,1.29597,0.94426,0.84284,0.007624,0.007624,0.007624
8,174.931,1.39924,0.93566,0.8769,0.87148,0.93301,0.91101,0.56502,1.25674,0.84941,0.83228,0.007228,0.007228,0.007228
9,195.905,1.37622,0.90912,0.87314,0.87211,0.94002,0.90937,0.52571,1.40081,0.91614,0.84208,0.006832,0.006832,0.006832
10,216.444,1.3818,0.8884,0.86876,0.89537,0.92191,0.91456,0.5678,1.31286,0.85504,0.83566,0.006436,0.006436,0.006436
11,237.928,1.31977,0.84198,0.86475,0.89936,0.90065,0.92043,0.59227,1.22914,0.81439,0.82429,0.00604,0.00604,0.00604
12,257.849,1.28372,0.81478,0.85898,0.9133,0.92018,0.93484,0.55181,1.38563,0.79149,0.83586,0.005644,0.005644,0.005644
13,279.382,1.27326,0.75668,0.85489,0.97881,0.94331,0.97621,0.64178,1.16204,0.65263,0.81954,0.005248,0.005248,0.005248
14,299.348,1.25632,0.71654,0.85562,0.97546,0.95198,0.9749,0.66222,1.07206,0.60751,0.81252,0.004852,0.004852,0.004852
15,320.753,1.24435,0.68877,0.85161,0.98432,0.94708,0.98015,0.63992,1.196,0.63012,0.82085,0.004456,0.004456,0.004456
16,341.214,1.18992,0.63811,0.86124,0.98285,0.9381,0.97556,0.66728,1.03685,0.60363,0.81339,0.00406,0.00406,0.00406
17,361.323,1.17195,0.6186,0.86023,0.98178,0.9576,0.97402,0.63362,1.20445,0.60737,0.82257,0.003664,0.003664,0.003664
18,380.162,1.1578,0.61185,0.86026,0.98663,0.94609,0.97939,0.60799,1.24775,0.62835,0.82181,0.003268,0.003268,0.003268
19,399.033,1.14909,0.5963,0.85787,0.97796,0.95448,0.97546,0.6318,1.21489,0.59846,0.82098,0.002872,0.002872,0.002872
20,418.936,1.14286,0.58117,0.85556,0.98433,0.94979,0.97131,0.60478,1.28272,0.63396,0.82566,0.002476,0.002476,0.002476
21,437.722,1.12881,0.57202,0.85346,0.98925,0.95512,0.9762,0.66852,1.08369,0.55798,0.8119,0.00208,0.00208,0.00208
22,457.92,1.10474,0.55447,0.84917,0.99003,0.9469,0.97317,0.6368,1.21078,0.58384,0.81879,0.001684,0.001684,0.001684
23,476.785,1.11148,0.55631,0.85052,0.98026,0.9546,0.97616,0.6292,1.23436,0.58588,0.82152,0.001288,0.001288,0.001288
24,496.563,1.09229,0.5449,0.84867,0.98526,0.95831,0.97744,0.68803,1.00476,0.53085,0.80763,0.000892,0.000892,0.000892
25,516.234,1.07988,0.53348,0.84649,0.97837,0.94947,0.97527,0.6811,1.03915,0.53392,0.80685,0.000496,0.000496,0.000496
