epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,467.924,1.3571,3.71856,1.00264,0.53592,0.23341,0.30248,0.21555,1.02401,2.8775,0.86362,0.000150392,0.000150392,0.000150392
2,933.508,1.01286,2.03259,0.87735,0.55854,0.76097,0.69614,0.50995,0.96637,1.62549,0.87384,0.000292091,0.000292091,0.000292091
3,1398.27,0.94838,1.46558,0.87569,0.61614,0.85743,0.75881,0.59431,0.8436,1.41648,0.84496,0.00042378,0.00042378,0.00042378
4,1858.11,0.91377,1.26632,0.869,0.65514,0.91687,0.77772,0.63091,0.78669,1.18371,0.83666,0.000409955,0.000409955,0.000409955
5,2317.22,0.85866,1.13365,0.86417,0.7203,0.88493,0.80589,0.65096,0.78232,1.03208,0.84007,0.00039494,0.00039494,0.00039494
6,2777.35,0.83796,1.02,0.85466,0.75469,0.92496,0.83407,0.68419,0.72427,0.91636,0.82789,0.000379925,0.000379925,0.000379925
7,3236.64,0.82264,0.96126,0.85862,0.90598,0.89302,0.91679,0.752,0.7013,0.80384,0.83026,0.00036491,0.00036491,0.00036491
8,3695.94,0.80354,0.85553,0.85468,0.97002,0.94985,0.97161,0.81031,0.69099,0.65831,0.82611,0.000349895,0.000349895,0.000349895
9,4155.24,0.80944,0.77873,0.85691,0.97271,0.96239,0.97183,0.80783,0.71099,0.63853,0.83128,0.00033488,0.00033488,0.00033488
10,4614.53,0.79016,0.71838,0.85392,0.97972,0.9621,0.97438,0.80556,0.71666,0.59144,0.82913,0.000319865,0.000319865,0.000319865
11,5073.67,0.77634,0.70359,0.85026,0.97796,0.96451,0.97579,0.82157,0.6921,0.57193,0.8266,0.00030485,0.00030485,0.00030485
12,5534.23,0.78223,0.67208,0.8532,0.96835,0.96636,0.97374,0.81299,0.67679,0.57346,0.82415,0.000289835,0.000289835,0.000289835
13,5995.66,0.76236,0.65373,0.8471,0.97576,0.96389,0.97649,0.8189,0.69631,0.52786,0.82258,0.00027482,0.00027482,0.00027482
14,6456.76,0.76231,0.62972,0.84824,0.97773,0.96591,0.97519,0.81752,0.68707,0.52778,0.82385,0.000259805,0.000259805,0.000259805
15,6916.71,0.7507,0.60109,0.84828,0.97804,0.96731,0.97469,0.82385,0.66285,0.50357,0.81916,0.00024479,0.00024479,0.00024479
16,7376.01,0.73814,0.60372,0.84438,0.97212,0.96954,0.9728,0.81842,0.66353,0.49783,0.81964,0.000229775,0.000229775,0.000229775
17,7834.73,0.74599,0.58735,0.84501,0.97455,0.96727,0.97424,0.83018,0.65051,0.49262,0.81899,0.00021476,0.00021476,0.00021476
18,8294.36,0.73372,0.57376,0.84468,0.97643,0.96635,0.97399,0.8268,0.64714,0.47543,0.81694,0.000199745,0.000199745,0.000199745
19,8752.64,0.72286,0.55719,0.84314,0.97464,0.96688,0.9758,0.83076,0.64191,0.46387,0.8147,0.00018473,0.00018473,0.00018473
20,9212.17,0.7345,0.55898,0.84365,0.96495,0.97288,0.97374,0.83063,0.63896,0.45633,0.81608,0.000169715,0.000169715,0.000169715
21,9666.02,0.69855,0.50962,0.84379,0.96999,0.96771,0.97494,0.83015,0.65367,0.4681,0.81584,0.0001547,0.0001547,0.0001547
22,10120.4,0.69429,0.49298,0.84086,0.96763,0.97711,0.97539,0.82918,0.65245,0.45779,0.8153,0.000139685,0.000139685,0.000139685
23,10574.1,0.68044,0.47661,0.83825,0.97831,0.96696,0.97411,0.82178,0.66845,0.44536,0.81888,0.00012467,0.00012467,0.00012467
24,11028.1,0.6758,0.47078,0.83784,0.97387,0.96955,0.97526,0.83372,0.63493,0.43612,0.81243,0.000109655,0.000109655,0.000109655
25,11509.2,0.67339,0.45732,0.83774,0.97462,0.96896,0.97453,0.83144,0.63093,0.42684,0.81245,9.464e-05,9.464e-05,9.464e-05
26,12827.6,0.66736,0.45416,0.83338,0.96941,0.97183,0.9746,0.83622,0.6228,0.42233,0.81094,7.9625e-05,7.9625e-05,7.9625e-05
27,13412.8,0.66551,0.44769,0.83404,0.96902,0.9742,0.97146,0.83729,0.6188,0.41704,0.81006,6.461e-05,6.461e-05,6.461e-05
28,13959.4,0.65759,0.44509,0.83448,0.97077,0.96533,0.97447,0.83638,0.62732,0.42366,0.81117,4.9595e-05,4.9595e-05,4.9595e-05
29,14511.8,0.65322,0.43756,0.83502,0.96633,0.96981,0.97146,0.83614,0.62445,0.41582,0.81069,3.458e-05,3.458e-05,3.458e-05
30,15074,0.6487,0.4388,0.83517,0.97043,0.97303,0.97013,0.8353,0.621,0.41231,0.81001,1.9565e-05,1.9565e-05,1.9565e-05
